competition,season,records,unique_match_ids,event_files,lineup_files,360_files
Premier League,2003/2004,38,38,38,38,0
Premier League,2015/2016,380,380,380,380,0
Ligue 1,2015/2016,377,377,377,377,0
Ligue 1,2021/2022,26,26,26,26,26
Ligue 1,2022/2023,32,32,32,32,32
1. Bundesliga,2015/2016,34,34,34,34,0
1. Bundesliga,2023/2024,34,34,34,34,34
La Liga,1973/1974,1,1,1,1,0
La Liga,2004/2005,7,7,7,7,0
La Liga,2005/2006,17,17,17,17,0
La Liga,2006/2007,26,26,26,26,0
La Liga,2007/2008,27,27,27,27,0
La Liga,2008/2009,31,31,31,31,0
La Liga,2009/2010,35,35,35,35,0
La Liga,2010/2011,33,33,33,33,0
La Liga,2011/2012,37,37,37,37,0
La Liga,2012/2013,32,32,32,32,0
La Liga,2013/2014,31,31,31,31,0
La Liga,2014/2015,38,38,38,38,0
La Liga,2015/2016,380,380,380,380,0
La Liga,2016/2017,34,34,34,34,0
La Liga,2017/2018,36,36,36,36,0
La Liga,2018/2019,34,34,34,34,0
La Liga,2019/2020,33,33,33,33,0
La Liga,2020/2021,35,35,35,35,35
Serie A,1986/1987,1,1,1,1,0
Serie A,2015/2016,380,380,380,380,0
Champions League,1970/1971,1,1,1,1,0
Champions League,1971/1972,1,1,1,1,0
Champions League,1972/1973,1,1,1,1,0
Champions League,1999/2000,1,1,1,1,0
Champions League,2003/2004,1,1,1,1,0
Champions League,2004/2005,1,1,1,1,0
Champions League,2006/2007,1,1,1,1,0
Champions League,2008/2009,1,1,1,1,0
Champions League,2009/2010,1,1,1,1,0
Champions League,2010/2011,1,1,1,1,0
Champions League,2011/2012,1,1,1,1,0
Champions League,2012/2013,1,1,1,1,0
Champions League,2013/2014,1,1,1,1,0
Champions League,2014/2015,1,1,1,1,0
Champions League,2015/2016,1,1,1,1,0
Champions League,2016/2017,1,1,1,1,0
Champions League,2017/2018,1,1,1,1,0
Champions League,2018/2019,1,1,1,1,0
